Rank;Codigo_Instituicao;Instituicao;Exportacao_Quant;Exportacao_Valor;Importacao_Quant;Importacao_Valor;Transf_Exterior_Quant;Transf_Exterior_Valor;Transf_pExterior_Quant;Transf_pExterior_Valor;Mercado_Primario_Quant;Mercado_Primario_Valor;Mercado_Interbancario_Quant;Mercado_Interbancario_Valor;Total_Geral_Quant;Total_Geral_Valor;Data_Ref
64;92.894.922;BANCO ORIGINAL S.A.;14.0;21140074.0;18.0;10137114.0;26.0;1066361.0;110.0;8161439.0;168.0;40504987.0;15.0;75988106.0;183.0;116493093.0;2014-00
65;15.114.366;BANCO BBM S/A;13.0;9278223.0;3.0;11500917.0;10.0;23264582.0;32.0;24174229.0;58.0;68217951.0;28.0;41206455.0;86.0;109424406.0;2014-00
66;60.889.128;BANCO SOFISA S.A.;142.0;23944269.0;76.0;8167591.0;19.0;805114.0;129.0;13525901.0;366.0;46442874.0;18.0;58437804.0;384.0;104880678.0;2014-00
67;3.532.415;BANCO ABN AMRO S.A.;15.0;46135238.0;;;3.0;3563490.0;9.0;6528.0;27.0;49705256.0;19.0;54660000.0;46.0;104365256.0;2014-00
69;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;519.0;26436436.0;260.0;11783102.0;152.0;5760758.0;358.0;1328228.0;1289.0;45308523.0;102.0;38389181.0;1391.0;83697704.0;2014-00
72;12.586.596;MULTIMONEY CORRETORA DE C∂MBIO LTDA;8.0;609231.0;194.0;3894508.0;439.0;2141579.0;2046.0;21658911.0;2687.0;28304229.0;1513.0;50983488.0;4200.0;79287716.0;2014-00
73;7.679.404;BANCO TOPµZIO S.A.;13.0;1570205.0;2.0;168866.0;10.0;34245.0;68.0;37229907.0;93.0;39003222.0;54.0;38230936.0;147.0;77234158.0;2014-00
74;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA;20.0;262278.0;516.0;11410851.0;154.0;2030499.0;4140.0;25440040.0;4830.0;39143668.0;726.0;36088600.0;5556.0;75232268.0;2014-00
75;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.;12.0;374339.0;384.0;12923427.0;171.0;1822403.0;615.0;17928022.0;1182.0;33048192.0;969.0;40327942.0;2151.0;73376134.0;2014-00
76;7.237.373;BANCO DO NORDESTE DO BRASIL S.A.;37.0;20098987.0;47.0;11020600.0;17.0;713367.0;46.0;1324705.0;147.0;33157660.0;31.0;34876257.0;178.0;68033917.0;2014-00
77;30.723.886;BANCO MODAL S.A.;6.0;319617.0;52.0;4933925.0;16.0;7803952.0;43.0;4060537.0;117.0;17118031.0;43.0;49561718.0;160.0;66679749.0;2014-00
79;50.579.044;LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.;8.0;119774.0;510.0;18268041.0;1189.0;10030125.0;1323.0;11275515.0;3030.0;39693455.0;485.0;22981553.0;3515.0;62675008.0;2014-00
80;59.118.133;BANCO LUSO BRASILEIRO S.A.;10.0;1475922.0;270.0;24760649.0;2.0;32479.0;85.0;2935452.0;367.0;29204502.0;110.0;32431227.0;477.0;61635729.0;2014-00
81;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.;25.0;790958.0;26.0;444543.0;35.0;6033511.0;243.0;17541489.0;329.0;24810501.0;15.0;31690915.0;344.0;56501416.0;2014-00
82;59.285.411;BANCO PAN S.A.;22.0;33083144.0;;;7.0;64779.0;31.0;916822.0;60.0;34064744.0;10.0;21000000.0;70.0;55064744.0;2014-00
83;1.181.521;BANCO COOPERATIVO SICREDI S.A.;302.0;17430136.0;292.0;10143628.0;115.0;1800418.0;194.0;11770426.0;903.0;41144609.0;31.0;12875282.0;934.0;54019891.0;2014-00
