Rank;Codigo_Instituicao;Instituicao;Exportacao_Quant;Exportacao_Valor;Importacao_Quant;Importacao_Valor;Transf_Exterior_Quant;Transf_Exterior_Valor;Transf_pExterior_Quant;Transf_pExterior_Valor;Mercado_Primario_Quant;Mercado_Primario_Valor;Mercado_Interbancario_Quant;Mercado_Interbancario_Valor;Total_Geral_Quant;Total_Geral_Valor;Extra;Extra_23
155;38.486.817;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;;;;;;;4.0;7422.0;4.0;7422.0;;;4.0;7422.0;;2022-01
156;13.720.915;BANCO WESTERN UNION DO BRASIL S.A.;;;;;;;1.0;1061.0;1.0;1061.0;;;1.0;1061.0;;2022-01
157;50.585.090;BCV - BANCO DE CRÉDITO E VAREJO S.A.;;;;;;;1.0;1060.0;1.0;1060.0;;;1.0;1060.0;;2022-01
158;33.042.953;CITIBANK N.A.;;;;;1.0;29.0;2.0;351.0;3.0;380.0;;;3.0;380.0;;2022-01
;;;;;;;;;;;;;;;;;;2022-01
Total;;;34201.0;14493411971.0;112827.0;17999324140.0;652832.0;43400856374.0;609757.0;39228089307.0;1409617.0;115121681791.0;70920.0;95149896331.0;1480537.0;210271578123.0;;2022-01
"Fonte: Sistema Câmbio; Dados extraídos em: 10/02/2022";;;;;;;;;;;;;;;;;;2022-01
Obs. Os dados para o Mercado Primário incluem os registros de contratos da natureza 99000 e não incluem os registros ACAM204.;;;;;;;;;;;;;;;;;;2022-01
Obs. Os dados para o Mercado Interbancário referem-se a registros de operações de arbitragens (no País e no exterior), operações entre instituições e operações com o Banco Central do Brasil.;;;;;;;;;;;;;;;;;;2022-01
;;;;;;;;;;;;;;;;;;2022-01
